time,load@tsung_controller@ip-172-31-16-126 
0,0.12890625 
10,0.109375 
20,0.08984375 
30,0.078125 
40,0.0703125 
50,0.0703125 
60,0.0703125 
70,0.0703125 
80,0.0703125 
90,0.0703125 
100,0.0703125 
110,0.0703125 
120,0.0703125 
130,0.0703125 
140,0.0703125 
150,0.0703125 
160,0.0703125 
170,0.0703125 
180,0.0703125 
190,0.0703125 
200,0.0703125 
210,0.0703125 
220,0.0703125 
230,0.0703125 
240,0.0703125 
250,0.0703125 
260,0.0703125 
270,0.0703125 
280,0.0703125 
290,0.0703125 
300,0.0703125 
310,0.0703125 
320,0.0703125 
330,0.0703125 
340,0.0703125 
350,0.0703125 
360,0.0703125 
370,0.0703125 
380,0.0703125 
390,0.0703125 
400,0.0703125 
